backbone,task,seed,params,inference_ms_per_window,train_time_s,best_val_macro_f1,loss,accuracy,macro_f1,worst_class_f1,per_class_f1,confusion_matrix
complex_static,direction_hard,13,34114,0.07586102615277923,43.284840205917135,1.0,0.0012305176453664898,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
complex_static,direction_hard,42,34114,0.07583724632240774,43.1322282878682,1.0,0.0014846023190766573,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
complex_static,direction_hard,73,34114,0.07651560022168269,47.73439745977521,1.0,0.0015278365053236485,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
complex_selective,direction_hard,13,50498,0.0752202109197242,34.90650161891244,1.0,0.0008623122260905802,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
complex_selective,direction_hard,42,50498,0.07542793086940947,34.90462790685706,1.0,0.00038365583308041097,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
complex_selective,direction_hard,73,50498,0.07518371485275566,34.589050262002274,1.0,0.0012896726746112108,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
cnn,mid_switch,13,75586,0.00125221913549467,6.690817525144666,1.0,0.009140693791210651,0.9995,0.9994999898747949,0.9994977398292315,"[0.9994977398292315, 0.9995022399203584]","[[995, 1], [0, 1004]]"
cnn,mid_switch,42,75586,0.0012515870821516728,8.622036379994825,1.0,0.009380160331726074,1.0,1.0,1.0,"[1.0, 1.0]","[[1039, 0], [0, 961]]"
cnn,mid_switch,73,75586,0.0012512390640040394,9.182573942001909,1.0,0.004443975197151303,0.999,0.9989992704681714,0.998972250770812,"[0.9990262901655307, 0.998972250770812]","[[1026, 2], [0, 972]]"
tcn,mid_switch,13,220354,0.003644831258498016,3.0188925620168447,1.0,0.0013317675422877073,1.0,1.0,1.0,"[1.0, 1.0]","[[996, 0], [0, 1004]]"
tcn,mid_switch,42,220354,0.003636353721958585,2.7564860018901527,1.0,0.012189666338264942,0.9995,0.9994992577748367,0.999479979199168,"[0.9995185363505056, 0.999479979199168]","[[1038, 1], [0, 961]]"
tcn,mid_switch,73,220354,0.003635639632193488,2.7417406430467963,1.0,0.008376462139189243,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
transformer,mid_switch,13,83778,0.002818857228703564,4.252341157058254,1.0,0.001008779720403254,1.0,1.0,1.0,"[1.0, 1.0]","[[996, 0], [0, 1004]]"
transformer,mid_switch,42,83778,0.002820177724061068,3.507072143955156,1.0,0.028112417086958885,1.0,1.0,1.0,"[1.0, 1.0]","[[1039, 0], [0, 961]]"
transformer,mid_switch,73,83778,0.0028200056476634927,3.8292788879480213,1.0,0.0036465302165597678,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
mamba3,mid_switch,13,239250,0.005862456055183429,4.286443486111239,1.0,0.003249099224805832,1.0,1.0,1.0,"[1.0, 1.0]","[[996, 0], [0, 1004]]"
mamba3,mid_switch,42,239250,0.005767428683611797,3.881648479960859,1.0,0.010406128264963626,1.0,1.0,1.0,"[1.0, 1.0]","[[1039, 0], [0, 961]]"
mamba3,mid_switch,73,239250,0.005804439433632069,3.8459547839593142,1.0,0.004996430099010468,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
real_static,mid_switch,13,25794,0.024244028099928983,35.301510717952624,0.9994999938749249,0.002029814375564456,0.9995,0.9994999938749249,0.9994982438534872,"[0.9994982438534872, 0.9995017438963627]","[[996, 0], [1, 1003]]"
real_static,mid_switch,42,25794,0.024182285142160254,30.085007140180096,1.0,0.003205914780497551,0.9995,0.9994992577748367,0.999479979199168,"[0.9995185363505056, 0.999479979199168]","[[1038, 1], [0, 961]]"
real_static,mid_switch,73,25794,0.023925563846205478,37.08028876106255,1.0,0.0015585500751622021,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
real_selective,mid_switch,13,33986,0.024009222443055478,22.07649205508642,1.0,0.0015614523962140083,1.0,1.0,1.0,"[1.0, 1.0]","[[996, 0], [0, 1004]]"
real_selective,mid_switch,42,33986,0.02398316387370869,16.948092697188258,1.0,0.009739238359034062,0.9985,0.9984976559677237,0.9984383133784487,"[0.9985569985569985, 0.9984383133784487]","[[1038, 1], [2, 959]]"
real_selective,mid_switch,73,33986,0.02398589253971295,18.8750433169771,1.0,0.014667469531297684,0.9995,0.9994995935448567,0.9994853319608852,"[0.9995138551288284, 0.9994853319608852]","[[1028, 0], [1, 971]]"
complex_static,mid_switch,13,34114,0.076015539252694,55.90321123809554,1.0,0.011385389611124992,0.999,0.998999974999375,0.9989949748743718,"[0.9989949748743718, 0.9990049751243781]","[[994, 2], [0, 1004]]"
complex_static,mid_switch,42,34114,0.07569446365778276,55.71981884702109,1.0,0.004221353374421597,0.9995,0.9994992577748367,0.999479979199168,"[0.9995185363505056, 0.999479979199168]","[[1038, 1], [0, 961]]"
complex_static,mid_switch,73,34114,0.07648133573638916,56.05885393591598,1.0,0.0052418623454868795,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
complex_selective,mid_switch,13,50498,0.07529809727202519,112.40579253481701,1.0,0.002806658864021301,0.9995,0.9994999898747949,0.9994977398292315,"[0.9994977398292315, 0.9995022399203584]","[[995, 1], [0, 1004]]"
complex_selective,mid_switch,42,50498,0.07533115276601166,73.57920984108932,0.9969969248510475,0.027387438058853148,0.9965,0.9964955835591804,0.9963711767755313,"[0.9966199903428296, 0.9963711767755313]","[[1032, 7], [0, 961]]"
complex_selective,mid_switch,73,50498,0.07570272600787575,51.78594012395479,0.998999990999919,0.012226831234991551,0.9985,0.9984988647664796,0.9984575835475579,"[0.9985401459854014, 0.9984575835475579]","[[1026, 2], [1, 971]]"
cnn,speed_direction6,13,76102,0.0012540871011879062,2.5806028097867966,0.9853038494202284,0.14607594275474547,0.9825,0.9827109565687854,0.9630723781388478,"[0.9941348973607038, 0.9920760697305864, 0.9839743589743589, 0.9630723781388478, 0.9910979228486647, 0.9719101123595506]","[[339, 0, 0, 0, 0, 0], [0, 313, 0, 3, 0, 0], [4, 0, 307, 0, 3, 0], [0, 2, 0, 326, 0, 20], [0, 0, 3, 0, 334, 0], [0, 0, 0, 0, 0, 346]]"
cnn,speed_direction6,42,76102,0.0012519296888058307,3.1511024821083993,0.9813329316648307,0.09943197286128998,0.9835,0.9833546498757357,0.9702660406885759,"[0.9927641099855282, 0.982089552238806, 0.9788519637462235, 0.9702660406885759, 0.9869753979739508, 0.9891808346213292]","[[343, 0, 5, 0, 0, 0], [0, 329, 0, 0, 0, 0], [0, 0, 324, 0, 7, 0], [0, 12, 0, 310, 0, 2], [0, 0, 2, 0, 341, 0], [0, 0, 0, 5, 0, 320]]"
cnn,speed_direction6,73,76102,0.0012544802757474827,5.018149012932554,0.9809371560303769,0.07525425332784652,0.979,0.978850872190117,0.9548989113530326,"[0.9857954545454546, 0.9861751152073732, 0.9803328290468987, 0.9548989113530326, 0.9954887218045113, 0.9704142011834319]","[[347, 0, 6, 0, 0, 0], [0, 321, 0, 8, 0, 0], [4, 0, 324, 0, 2, 0], [0, 1, 0, 307, 0, 20], [0, 0, 1, 0, 331, 0], [0, 0, 0, 0, 0, 328]]"
tcn,speed_direction6,13,220870,0.0036355751944938675,7.057090800954029,0.9842262336283608,0.045595373541116715,0.982,0.9819272132896549,0.9658246656760773,"[0.9839883551673945, 0.9813664596273292, 0.9789983844911146, 0.9658246656760773, 0.9970326409495549, 0.984352773826458]","[[338, 0, 1, 0, 0, 0], [0, 316, 0, 0, 0, 0], [10, 0, 303, 0, 1, 0], [0, 12, 0, 325, 0, 11], [0, 0, 1, 0, 336, 0], [0, 0, 0, 0, 0, 346]]"
tcn,speed_direction6,42,220870,0.0036355300835566595,5.521540084155276,0.9790391960976144,0.060718630760908124,0.9815,0.981413115516575,0.9658385093167702,"[0.9761570827489481, 0.987987987987988, 0.9658385093167702, 0.9765258215962441, 0.992721979621543, 0.989247311827957]","[[348, 0, 0, 0, 0, 0], [0, 329, 0, 0, 0, 0], [17, 0, 311, 0, 3, 0], [0, 8, 0, 312, 0, 4], [0, 0, 2, 0, 341, 0], [0, 0, 0, 3, 0, 322]]"
tcn,speed_direction6,73,220870,0.003635700204540626,9.35375849204138,0.9894750110509296,0.03368918883800506,0.987,0.987030880357682,0.9771689497716894,"[0.9844851904090268, 0.9908536585365854, 0.9771689497716894, 0.983358547655068, 0.9939759036144579, 0.9923430321592649]","[[349, 0, 4, 0, 0, 0], [0, 325, 0, 4, 0, 0], [7, 0, 321, 0, 2, 0], [0, 2, 0, 325, 0, 1], [0, 0, 2, 0, 330, 0], [0, 0, 0, 4, 0, 324]]"
transformer,speed_direction6,13,84038,0.0028265291348361643,9.67761736502871,0.9959489877633484,0.015371999770402909,0.9945,0.9944464691645791,0.988835725677831,"[0.9955686853766618, 0.9968454258675079, 0.988835725677831, 0.9942363112391931, 0.9940828402366864, 0.9971098265895953]","[[337, 0, 2, 0, 0, 0], [0, 316, 0, 0, 0, 0], [1, 0, 310, 0, 3, 0], [0, 2, 0, 345, 0, 1], [0, 0, 1, 0, 336, 0], [0, 0, 0, 1, 0, 345]]"
transformer,speed_direction6,42,84038,0.00283166955341585,8.404992918018252,0.9920616684065662,0.026572271913290025,0.9885,0.9884461232663396,0.9818731117824774,"[0.9942363112391931, 0.9938837920489296, 0.9818731117824774, 0.9829984544049459, 0.9883720930232558, 0.9893129770992366]","[[345, 0, 3, 0, 0, 0], [0, 325, 0, 4, 0, 0], [1, 0, 325, 0, 5, 0], [0, 0, 0, 318, 0, 6], [0, 0, 3, 0, 340, 0], [0, 0, 0, 1, 0, 324]]"
transformer,speed_direction6,73,84038,0.0028353663765301462,8.291220346931368,0.9889543854391357,0.043274242162704465,0.9815,0.9815471559837768,0.9755395683453237,"[0.9755395683453237, 0.9760479041916168, 0.975609756097561, 0.9831029185867896, 0.9865470852017937, 0.9924357034795764]","[[339, 10, 4, 0, 0, 0], [0, 326, 0, 3, 0, 0], [3, 0, 320, 0, 7, 0], [0, 3, 0, 320, 0, 5], [0, 0, 2, 0, 330, 0], [0, 0, 0, 0, 0, 328]]"
mamba3,speed_direction6,13,239766,0.005774582223239122,5.389822992961854,0.9893832890338157,0.03999439489841461,0.988,0.9879224696356682,0.9793977812995246,"[0.9926793557833089, 0.9904458598726115, 0.9793977812995246, 0.9842180774748924, 0.987987987987988, 0.9928057553956835]","[[339, 0, 0, 0, 0, 0], [0, 311, 0, 5, 0, 0], [5, 0, 309, 0, 0, 0], [0, 1, 0, 343, 0, 4], [0, 0, 8, 0, 329, 0], [0, 0, 0, 1, 0, 345]]"
mamba3,speed_direction6,42,239766,0.005764023217125214,7.1278667049482465,0.981873917520716,0.05088664290308952,0.9845,0.9844180972931375,0.9700598802395209,"[0.9900426742532006, 0.9814241486068112, 0.9833080424886191, 0.9700598802395209, 0.9941348973607038, 0.9875389408099688]","[[348, 0, 0, 0, 0, 0], [0, 317, 0, 12, 0, 0], [7, 0, 324, 0, 0, 0], [0, 0, 0, 324, 0, 0], [0, 0, 4, 0, 339, 0], [0, 0, 0, 8, 0, 317]]"
mamba3,speed_direction6,73,239766,0.005853450420545414,12.27149536809884,0.9934591900799227,0.024264722257852554,0.992,0.9920182771384366,0.9879154078549849,"[0.9914285714285714, 0.9954198473282443, 0.9880239520958084, 0.9879154078549849, 0.9969788519637462, 0.9923430321592649]","[[347, 0, 6, 0, 0, 0], [0, 326, 0, 3, 0, 0], [0, 0, 330, 0, 0, 0], [0, 0, 0, 327, 0, 1], [0, 0, 2, 0, 330, 0], [0, 0, 0, 4, 0, 324]]"
real_static,speed_direction6,13,26054,0.024241886103482102,20.17545087891631,0.9733437037316229,0.1359197726249695,0.9765,0.976453821774558,0.9681528662420382,"[0.9790419161676647, 0.9811320754716981, 0.9681528662420382, 0.9694323144104804, 0.9823008849557522, 0.9786628733997155]","[[327, 6, 6, 0, 0, 0], [0, 312, 0, 4, 0, 0], [2, 0, 304, 0, 8, 0], [0, 2, 0, 333, 0, 13], [0, 0, 4, 0, 333, 0], [0, 0, 0, 2, 0, 344]]"
real_static,speed_direction6,42,26054,0.02410167771813576,17.025258341105655,0.9614028336413248,0.20076426482200624,0.9555,0.9556749087766727,0.9162717219589257,"[0.9927641099855282, 0.9720496894409938, 0.9194444444444444, 0.9538002980625931, 0.9162717219589257, 0.9797191887675507]","[[343, 0, 5, 0, 0, 0], [0, 313, 0, 16, 0, 0], [0, 0, 331, 0, 0, 0], [0, 2, 0, 320, 0, 2], [0, 0, 53, 0, 290, 0], [0, 0, 0, 11, 0, 314]]"
real_static,speed_direction6,73,26054,0.023938556068969774,43.742880958132446,0.977808380390354,0.06826332610845566,0.979,0.9787402533455566,0.9640062597809077,"[0.988795518207283, 0.9924585218702866, 0.9640062597809077, 0.9703588143525741, 0.9778434268833087, 0.978978978978979]","[[353, 0, 0, 0, 0, 0], [0, 329, 0, 0, 0, 0], [8, 0, 308, 0, 14, 0], [0, 5, 0, 311, 0, 12], [0, 0, 1, 0, 331, 0], [0, 0, 0, 2, 0, 326]]"
real_selective,speed_direction6,13,34246,0.024094960781440022,17.157113798893988,0.971901276455181,0.09361862307786942,0.966,0.9652387828662764,0.9246231155778895,"[0.9822485207100592, 0.9720496894409938, 0.9246231155778895, 0.9664233576642336, 0.9533239038189534, 0.9927641099855282]","[[332, 0, 7, 0, 0, 0], [0, 313, 0, 3, 0, 0], [5, 0, 276, 0, 33, 0], [0, 15, 0, 331, 0, 2], [0, 0, 0, 0, 337, 0], [0, 0, 0, 3, 0, 343]]"
real_selective,speed_direction6,42,34246,0.024071859570540255,37.05057879514061,0.9871916842610388,0.041248222932219504,0.9855,0.9853365504720246,0.9682299546142209,"[0.9942857142857143, 0.9863013698630136, 0.9878419452887538, 0.9682299546142209, 0.9941690962099126, 0.9811912225705329]","[[348, 0, 0, 0, 0, 0], [0, 324, 0, 5, 0, 0], [4, 0, 325, 0, 2, 0], [0, 4, 0, 320, 0, 0], [0, 0, 2, 0, 341, 0], [0, 0, 0, 12, 0, 313]]"
real_selective,speed_direction6,73,34246,0.02389856622357911,20.03363176691346,0.9779662217117487,0.061775035828351976,0.977,0.976916080992654,0.9626307922272048,"[0.9860335195530726, 0.9848484848484849, 0.9682299546142209, 0.9626307922272048, 0.9831546707503829, 0.9765990639625585]","[[353, 0, 0, 0, 0, 0], [0, 325, 0, 4, 0, 0], [10, 0, 320, 0, 0, 0], [0, 6, 0, 322, 0, 0], [0, 0, 11, 0, 321, 0], [0, 0, 0, 15, 0, 313]]"
complex_static,speed_direction6,13,34374,0.07583198648717371,77.27022965997458,0.953665852182567,0.12075701212882996,0.9555,0.9550527663614702,0.9188445667125172,"[0.9698795180722891, 0.9202037351443124, 0.9532710280373832, 0.9188445667125172, 0.9851632047477745, 0.9829545454545454]","[[322, 0, 17, 0, 0, 0], [0, 271, 0, 45, 0, 0], [3, 0, 306, 0, 5, 0], [0, 2, 0, 334, 0, 12], [0, 0, 5, 0, 332, 0], [0, 0, 0, 0, 0, 346]]"
complex_static,speed_direction6,42,34374,0.0751983421650948,64.48830450698733,0.9435866886468651,0.1381604223847389,0.9525,0.9522040588458203,0.9248895434462445,"[0.9560283687943263, 0.9601226993865031, 0.9476923076923077, 0.9248895434462445, 0.9814020028612304, 0.943089430894309]","[[337, 0, 11, 0, 0, 0], [10, 313, 0, 6, 0, 0], [10, 0, 308, 0, 13, 0], [0, 10, 0, 314, 0, 0], [0, 0, 0, 0, 343, 0], [0, 0, 0, 35, 0, 290]]"
complex_static,speed_direction6,73,34374,0.07557653279945953,103.48130976688117,0.9588827857309014,0.09598262441158295,0.962,0.9615768952924539,0.9104704097116844,"[0.9841726618705036, 0.9445324881141046, 0.9745889387144993, 0.9104704097116844, 0.990990990990991, 0.9647058823529412]","[[342, 0, 11, 0, 0, 0], [0, 298, 0, 31, 0, 0], [0, 0, 326, 0, 4, 0], [0, 4, 0, 300, 0, 24], [0, 0, 2, 0, 330, 0], [0, 0, 0, 0, 0, 328]]"
complex_selective,speed_direction6,13,50758,0.07507326563427341,35.07425588089973,0.9828473464014,0.06796444922685624,0.979,0.9787986074342969,0.96987087517934,"[0.9714285714285714, 0.9698890649762282, 0.9703588143525741, 0.96987087517934, 0.9970414201183432, 0.9942028985507246]","[[323, 0, 16, 0, 0, 0], [2, 306, 0, 8, 0, 0], [1, 0, 311, 0, 2, 0], [0, 9, 0, 338, 0, 1], [0, 0, 0, 0, 337, 0], [0, 0, 0, 3, 0, 343]]"
complex_selective,speed_direction6,42,50758,0.07494149176636711,55.93033983116038,0.9808720201056197,0.05541985836625099,0.981,0.9810476191118127,0.9687964338781575,"[0.9825581395348837, 0.9814241486068112, 0.9687964338781575, 0.9744360902255639, 0.986822840409956, 0.9922480620155039]","[[338, 0, 10, 0, 0, 0], [0, 317, 0, 12, 0, 0], [2, 0, 326, 0, 3, 0], [0, 0, 0, 324, 0, 0], [0, 0, 6, 0, 337, 0], [0, 0, 0, 5, 0, 320]]"
complex_selective,speed_direction6,73,50758,0.07585851662952336,115.63577947299927,0.9884045267396829,0.0420276580452919,0.982,0.9819093653471254,0.9710806697108066,"[0.9860335195530726, 0.982089552238806, 0.9710806697108066, 0.973561430793157, 0.9863013698630136, 0.9923896499238964]","[[353, 0, 0, 0, 0, 0], [0, 329, 0, 0, 0, 0], [10, 0, 319, 0, 1, 0], [0, 12, 0, 313, 0, 3], [0, 0, 8, 0, 324, 0], [0, 0, 0, 2, 0, 326]]"
